,movie,year,imdb,metascore,votes
543, Godzilla: King of the Monsters,2019,N/A,48,204K
544, Zombieland: Double Tap,2019,N/A,55,201K
545,N/A,N/A,N/A,N/A,N/A
546, 6 Underground,2019,N/A,41,196K
547,N/A,N/A,N/A,N/A,N/A
548, Rocketman,2019,N/A,69,194K
549, Frozen II,2019,N/A,64,193K
550,Joker,2019,N/A,59,1.5M
551,Avengers: Endgame,2019,N/A,78,1.3M
552,Parasite,2019,N/A,97,949K
553,N/A,N/A,N/A,N/A,N/A
554,Once Upon a Time... in Hollywood,2019,N/A,84,841K
555,Knives Out,2019,N/A,82,770K
556,1917,2019,N/A,78,670K
557,N/A,N/A,N/A,N/A,N/A
558,Captain Marvel,2019,N/A,64,608K
559,N/A,N/A,N/A,N/A,N/A
560,N/A,N/A,N/A,N/A,N/A
561, Spider-Man: Far from Home,2019,N/A,69,553K
562, Star Wars: The Rise of Skywalker,2019,N/A,53,491K
563, Ford v Ferrari,2019,N/A,81,465K
564, Jojo Rabbit,2019,N/A,58,439K
565, The Irishman,2019,N/A,94,429K
566, John Wick: Chapter 3 - Parabellum,2019,N/A,73,423K
567, Midsommar,2019,N/A,72,399K
568, The Gentlemen,2019,N/A,51,391K
569, Shazam!,2019,N/A,71,383K
570,N/A,N/A,N/A,N/A,N/A
571, Marriage Story,2019,N/A,94,345K
572, Us,2019,N/A,81,339K
573, Uncut Gems,2019,N/A,93,316K
574, It Chapter Two,2019,N/A,58,300K
575, Alita: Battle Angel,2019,N/A,53,292K
576, El Camino: A Breaking Bad Movie,2019,N/A,72,290K
577, Aladdin,2019,N/A,53,289K
578, Jumanji: The Next Level,2019,N/A,58,281K
579, Toy Story 4,2019,N/A,84,279K
580,N/A,N/A,N/A,N/A,N/A
581, El hoyo,2019,N/A,73,270K
582, The Lion King,2019,N/A,55,266K
583, Glass,2019,N/A,43,266K
584,N/A,N/A,N/A,N/A,N/A
585, Ad Astra,2019,N/A,80,259K
586, The Lighthouse,2019,N/A,83,253K
587, Little Women,2019,N/A,91,243K
588,N/A,N/A,N/A,N/A,N/A
589, Fast & Furious Presents: Hobbs & Shaw,2019,N/A,60,235K
590,N/A,N/A,N/A,N/A,N/A
591, Doctor Sleep,2019,N/A,59,217K
592, Dark Phoenix,2019,N/A,43,204K
593, Godzilla: King of the Monsters,2019,N/A,48,204K
594, Zombieland: Double Tap,2019,N/A,55,201K
595,N/A,N/A,N/A,N/A,N/A
596, 6 Underground,2019,N/A,41,196K
597,N/A,N/A,N/A,N/A,N/A
598, Rocketman,2019,N/A,69,194K
599, Frozen II,2019,N/A,64,193K
600,Joker,2019,N/A,59,1.5M
601,Avengers: Endgame,2019,N/A,78,1.3M
602,Parasite,2019,N/A,97,949K
603,N/A,N/A,N/A,N/A,N/A
604,Once Upon a Time... in Hollywood,2019,N/A,84,841K
605,Knives Out,2019,N/A,82,770K
606,1917,2019,N/A,78,670K
607,N/A,N/A,N/A,N/A,N/A
